,SquareFeet,Bedrooms,Bathrooms,Neighborhood,Price
4343,1088,3,2,0,133198.18762543637
20489,1786,2,2,2,172096.2721254903
14122,2244,4,1,1,252281.7420607704
3829,1077,4,1,2,155367.5213889799
2885,1850,4,1,0,223867.5726039152
27944,2686,2,2,2,314965.1566391357
17975,2982,4,1,0,361738.409058159
8615,1178,3,3,1,155185.5266361416
1515,2180,5,3,1,180554.91024492987
22408,2190,4,1,1,166861.25416607328
24588,1668,4,2,1,273856.3394977008
2223,1348,5,2,0,210651.25186885573
7947,2218,4,1,0,364608.6445457569
21105,2854,3,2,0,215047.51709545392
20137,2798,2,3,2,222088.33198017735
31157,1968,2,3,1,177054.63084708524
7987,2306,2,3,1,225576.72922920407
33944,1227,4,3,2,111314.4501456675
38335,1656,3,3,0,122759.59725538592
20397,2708,5,1,0,318599.0785010544
4061,2922,5,3,2,345222.6192632224
5225,1117,5,1,2,150812.01642207685
28217,2446,3,2,1,275556.0997598845
35001,2172,5,2,2,272789.21534781746
21922,1673,4,2,2,192063.82852518852
48419,2725,4,1,1,319511.77837686613
11021,2116,3,2,1,259095.0782764053
26429,2757,2,1,1,285473.08549375454
22378,2175,2,2,2,226301.8594541546
6321,1136,2,3,2,110127.99548619751
36283,1208,3,2,2,208307.7843437846
4048,2946,4,2,2,362220.4313649161
8837,2205,3,3,0,271505.6880565713
20987,2672,2,2,1,323525.47137520474
6045,1053,5,1,2,174866.92579971396
28176,2576,2,1,1,217655.7618571928
40067,2021,4,1,0,254827.0074948498
25640,2455,3,2,2,202112.87259867057
9690,1810,3,1,1,114641.21581848786
28728,2986,5,2,2,341612.96892933134
10308,1061,2,3,2,232558.2362261865
18674,2109,2,3,2,207382.17956187547
42884,2893,2,1,0,251466.93020592973
26202,1049,2,2,0,110778.34183391753
49634,1234,3,2,1,130744.24986848382
19140,1915,2,2,0,202492.1445563746
20587,1011,3,2,0,64915.672032665134
15947,2389,5,2,0,321590.7391300258
40754,1195,4,1,1,102603.9180608506
23011,2934,3,3,0,356116.1240658375
22094,1333,3,1,2,216275.68768925645
8994,1944,4,2,2,236762.0684249769
25958,1921,2,3,0,182252.16338139228
3006,2264,4,3,0,278394.5120425352
49183,1602,3,1,1,134890.1619427012
7737,1186,2,2,1,171067.64678477403
44469,2723,2,2,1,316528.6980718462
8094,1555,4,1,1,279796.3000843157
11112,1448,2,3,1,170940.56151697822
677,2123,2,1,0,149038.00718782184
12109,1555,3,3,0,194411.70766127508
43436,1867,5,2,0,162531.1079777178
6705,1938,2,3,0,293767.60929800256
16982,2910,3,2,2,326404.5542002182
39997,2283,5,3,0,216425.5367928568
36404,1157,3,3,0,130217.23092043636
33036,2588,4,3,1,350238.4752116004
23705,1614,2,1,1,173952.6306121426
